29;[0.97747723 0.00590074 0.2109584  2.50266137] [-0.00373649  0.99993624 -0.01065626 -0.27387229] [-2.11007825e-01  9.62800470e-03  9.77436954e-01  1.25623473e+01] [0. 0. 0. 1.];[0.97853764 0.00442334 0.20602066 2.91191599] [-0.00389482  0.999988   -0.00297086 -0.29590996] [-2.06031330e-01  2.10468778e-03  9.78543132e-01  1.43023446e+01] [0. 0. 0. 1.]
30;[0.97844742 0.00393194 0.2064587  2.89471404] [-0.00347778  0.99999067 -0.00256264 -0.29832166] [-2.06466848e-01  1.78938840e-03  9.78451960e-01  1.42260399e+01] [0. 0. 0. 1.];[0.9793756  0.00562812 0.20196972 3.11590196] [-0.00521957  0.99998311 -0.0025554  -0.29881414] [-2.01980688e-01  1.44849859e-03  9.79388433e-01  1.51990733e+01] [0. 0. 0. 1.]
31;[0.97844742 0.00393194 0.2064587  2.89471404] [-0.00347778  0.99999067 -0.00256264 -0.29832166] [-2.06466848e-01  1.78938840e-03  9.78451960e-01  1.42260399e+01] [0. 0. 0. 1.];[0.98002545 0.00802048 0.19871034 3.26677649] [-0.00782932  0.99996782 -0.00174773 -0.32117356] [-1.98717961e-01  1.57057683e-04  9.80056706e-01  1.59684298e+01] [0. 0. 0. 1.]
32;[0.98002545 0.00802048 0.19871034 3.26677649] [-0.00782932  0.99996782 -0.00174773 -0.32117356] [-1.98717961e-01  1.57057683e-04  9.80056706e-01  1.59684298e+01] [0. 0. 0. 1.];[0.98095923 0.00939606 0.19398636 3.44043872] [-0.00896586  0.99995501 -0.00309555 -0.33768847] [-1.94006719e-01  1.29735730e-03  9.80999343e-01  1.68586488e+01] [0. 0. 0. 1.]
33;[0.97985475 0.00786368 0.19955658 3.23074335] [-0.00769839  0.99996908 -0.00160426 -0.32360358] [-1.99563025e-01  3.56747517e-05  9.79884992e-01  1.59248775e+01] [0. 0. 0. 1.];[0.98176683 0.01248204 0.18967891 3.5634851 ] [-0.0113248   0.99991007 -0.00718373 -0.27920068] [-1.89751516e-01  4.90466777e-03  9.81819895e-01  1.76469910e+01] [0. 0. 0. 1.]
34;[0.98176683 0.01248204 0.18967891 3.5634851 ] [-0.0113248   0.99991007 -0.00718373 -0.27920068] [-1.89751516e-01  4.90466777e-03  9.81819895e-01  1.76469910e+01] [0. 0. 0. 1.];[0.9828256  0.00844538 0.18434348 3.72212716] [-0.00723357  0.99994759 -0.00724518 -0.34245623] [-1.84395005e-01  5.78729120e-03  9.82835179e-01  1.85409048e+01] [0. 0. 0. 1.]
35;[0.98168024 0.01134992 0.19019749 3.54260825] [-0.01038239  0.9999276  -0.0060827  -0.30899451] [-1.90252756e-01  3.99656565e-03  9.81727007e-01  1.75608834e+01] [0. 0. 0. 1.];[0.9840948  0.00711666 0.17750149 3.87919664] [-0.00601419  0.99995914 -0.00674833 -0.33960986] [-1.77542264e-01  5.57346406e-03  9.84097394e-01  1.93793847e+01] [0. 0. 0. 1.]
36;[0.98403107 0.0076346  0.17783295 3.86965609] [-0.00653269  0.99995567 -0.00678105 -0.34373518] [-1.77876840e-01  5.51103523e-03  9.84037326e-01  1.92920150e+01] [0. 0. 0. 1.];[0.98527957 0.0058227  0.17085157 4.03417523] [-0.00487541  0.99997033 -0.00596352 -0.3602246 ] [-1.70881227e-01  5.04276624e-03  9.85278730e-01  2.01944415e+01] [0. 0. 0. 1.]
37;[0.98403107 0.0076346  0.17783295 3.86965609] [-0.00653269  0.99995567 -0.00678105 -0.34373518] [-1.77876840e-01  5.51103523e-03  9.84037326e-01  1.92920150e+01] [0. 0. 0. 1.];[9.86316289e-01 2.51866100e-03 1.64844881e-01 4.18181021e+00] [-0.00193079  0.99999119 -0.00372637 -0.37984132] [-1.64852814e-01  3.35709714e-03  9.86312465e-01  2.10697535e+01] [0. 0. 0. 1.]
38;[9.86316289e-01 2.51866100e-03 1.64844881e-01 4.18181021e+00] [-0.00193079  0.99999119 -0.00372637 -0.37984132] [-1.64852814e-01  3.35709714e-03  9.86312465e-01  2.10697535e+01] [0. 0. 0. 1.];[ 9.87185024e-01 -1.07231528e-03  1.59576245e-01  4.35246439e+00] [ 0.0016533   0.99999248 -0.00350808 -0.40503085] [-1.59571283e-01  3.72694679e-03  9.87179374e-01  2.19551864e+01] [0. 0. 0. 1.]
